"","image.name","spot.coordinates","no.of.nuclei"
"143","Seurat","X75x37",9
"144","Seurat","X84x28",13
"145","Seurat","X91x27",8
"146","Seurat","X86x24",7
"147","Seurat","X98x38",17
"148","Seurat","X88x34",15
"149","Seurat","X82x42",15
"150","Seurat","X71x49",13
"151","Seurat","X101x37",12
"152","Seurat","X76x36",16
"153","Seurat","X76x32",7
"154","Seurat","X86x36",14
"155","Seurat","X77x33",5
"156","Seurat","X89x49",15
"157","Seurat","X93x21",8
"158","Seurat","X88x36",11
"159","Seurat","X97x27",12
"160","Seurat","X95x21",10
"161","Seurat","X85x41",12
"162","Seurat","X73x23",10
"163","Seurat","X85x37",14
"164","Seurat","X71x23",15
"165","Seurat","X95x25",14
"166","Seurat","X95x43",14
"167","Seurat","X94x46",13
"168","Seurat","X89x23",11
"169","Seurat","X73x29",9
"170","Seurat","X71x29",16
"171","Seurat","X78x38",13
"172","Seurat","X85x27",7
"173","Seurat","X93x37",11
"174","Seurat","X96x22",8
"175","Seurat","X87x39",13
"176","Seurat","X99x39",14
"177","Seurat","X80x24",10
"178","Seurat","X83x39",15
"179","Seurat","X73x43",13
"180","Seurat","X75x21",7
"181","Seurat","X97x43",13
"182","Seurat","X80x28",11
"183","Seurat","X101x39",14
"184","Seurat","X98x48",17
"185","Seurat","X85x31",4
"186","Seurat","X94x32",11
"187","Seurat","X91x49",15
"188","Seurat","X86x32",16
"189","Seurat","X83x43",14
"190","Seurat","X92x22",12
"191","Seurat","X80x26",15
"192","Seurat","X98x30",12
"193","Seurat","X98x24",12
"194","Seurat","X96x34",1
"195","Seurat","X74x40",13
"196","Seurat","X77x43",6
"197","Seurat","X101x47",11
"198","Seurat","X74x44",8
"199","Seurat","X84x26",10
"200","Seurat","X94x30",13
"201","Seurat","X72x44",6
"202","Seurat","X91x31",12
"203","Seurat","X93x29",13
"204","Seurat","X74x42",11
"205","Seurat","X101x23",16
"206","Seurat","X100x26",12
"207","Seurat","X82x36",12
"208","Seurat","X96x24",9
"209","Seurat","X99x23",13
"210","Seurat","X81x41",11
"211","Seurat","X100x46",16
"212","Seurat","X101x31",1
"213","Seurat","X77x21",6
"214","Seurat","X89x37",15
"215","Seurat","X96x44",17
"216","Seurat","X84x38",17
"217","Seurat","X79x43",7
"218","Seurat","X88x42",12
"219","Seurat","X97x29",12
"220","Seurat","X88x46",13
"221","Seurat","X83x23",12
"222","Seurat","X78x22",10
"223","Seurat","X93x39",8
"224","Seurat","X94x22",14
"225","Seurat","X80x38",12
"226","Seurat","X87x41",14
"227","Seurat","X92x40",11
"228","Seurat","X87x31",14
"229","Seurat","X91x37",18
"230","Seurat","X92x42",11
"231","Seurat","X81x43",16
"232","Seurat","X100x44",15
"233","Seurat","X77x25",9
"234","Seurat","X72x30",14
"235","Seurat","X86x42",15
"236","Seurat","X100x30",6
"237","Seurat","X96x28",12
"238","Seurat","X80x46",21
"239","Seurat","X74x30",12
"240","Seurat","X77x45",15
"241","Seurat","X93x49",12
"242","Seurat","X83x29",15
"243","Seurat","X89x27",14
"244","Seurat","X88x44",11
"245","Seurat","X89x39",10
"246","Seurat","X81x39",12
"247","Seurat","X100x34",14
"248","Seurat","X73x39",2
"249","Seurat","X95x27",13
"250","Seurat","X72x38",9
"251","Seurat","X75x43",13
"252","Seurat","X71x41",11
"253","Seurat","X82x48",16
"254","Seurat","X90x30",9
"255","Seurat","X89x21",7
"256","Seurat","X90x22",7
"257","Seurat","X79x27",11
"258","Seurat","X91x29",14
"259","Seurat","X95x41",16
"260","Seurat","X82x44",16
"261","Seurat","X77x37",14
"262","Seurat","X100x40",12
"263","Seurat","X95x29",7
"264","Seurat","X94x28",15
"265","Seurat","X78x46",13
"266","Seurat","X95x35",11
"267","Seurat","X80x34",12
"268","Seurat","X99x41",13
"269","Seurat","X84x22",9
"270","Seurat","X73x41",12
"271","Seurat","X95x39",7
"272","Seurat","X84x42",9
"273","Seurat","X89x35",14
"274","Seurat","X77x29",12
"275","Seurat","X97x31",16
"276","Seurat","X95x33",12
"277","Seurat","X82x32",13
"278","Seurat","X82x26",11
"279","Seurat","X78x32",11
"280","Seurat","X82x34",15
"281","Seurat","X94x42",14
"282","Seurat","X91x35",18
"283","Seurat","X83x31",10
"284","Seurat","X87x43",9
"285","Seurat","X93x31",13
"286","Seurat","X72x26",10
"287","Seurat","X79x49",10
"288","Seurat","X75x33",4
"289","Seurat","X90x42",19
"290","Seurat","X84x36",15
"291","Seurat","X89x25",12
"292","Seurat","X72x34",6
"293","Seurat","X97x23",18
"294","Seurat","X84x32",15
"295","Seurat","X80x30",13
"296","Seurat","X79x37",14
"297","Seurat","X87x47",12
"298","Seurat","X73x25",13
"299","Seurat","X91x33",12
"300","Seurat","X82x40",11
"301","Seurat","X83x37",13
"302","Seurat","X72x46",9
"303","Seurat","X81x33",15
"304","Seurat","X89x31",9
"305","Seurat","X81x49",7
"306","Seurat","X92x38",10
"307","Seurat","X77x39",9
"308","Seurat","X73x33",3
"309","Seurat","X75x39",12
"310","Seurat","X76x46",12
"311","Seurat","X88x24",8
"312","Seurat","X91x39",16
"313","Seurat","X77x41",11
"314","Seurat","X97x47",18
"315","Seurat","X85x39",16
"316","Seurat","X100x36",10
"317","Seurat","X83x41",14
"318","Seurat","X79x45",12
"319","Seurat","X78x26",13
"320","Seurat","X83x33",17
"321","Seurat","X75x41",12
"322","Seurat","X83x49",16
"323","Seurat","X88x32",14
"324","Seurat","X72x40",10
"325","Seurat","X80x42",11
"326","Seurat","X88x28",15
"327","Seurat","X101x33",10
"328","Seurat","X71x25",12
"329","Seurat","X97x45",14
"330","Seurat","X83x27",10
"331","Seurat","X93x25",11
"332","Seurat","X97x33",18
"333","Seurat","X83x21",8
"334","Seurat","X81x21",10
"335","Seurat","X87x37",13
"336","Seurat","X96x30",9
"337","Seurat","X81x31",9
"338","Seurat","X90x32",16
"339","Seurat","X89x43",10
"340","Seurat","X85x33",15
"341","Seurat","X85x23",8
"342","Seurat","X96x36",13
"343","Seurat","X100x32",4
"344","Seurat","X86x40",14
"345","Seurat","X96x48",17
"346","Seurat","X98x36",12
"347","Seurat","X100x24",12
"348","Seurat","X88x22",9
"349","Seurat","X82x30",13
"350","Seurat","X96x38",15
"351","Seurat","X74x34",10
"352","Seurat","X79x47",11
"353","Seurat","X92x30",8
"354","Seurat","X72x48",17
"355","Seurat","X73x31",14
"356","Seurat","X72x28",15
"357","Seurat","X99x35",14
"358","Seurat","X79x31",12
"359","Seurat","X75x23",8
"360","Seurat","X80x44",14
"361","Seurat","X76x22",10
"362","Seurat","X84x34",16
"363","Seurat","X81x47",14
"364","Seurat","X98x28",13
