type,gens
T1,"Ttr, 1500015O10Rik, Calml4, Kl, Clic6, Msx1, Folr1, Krt18, Kcne2, Kcnj13, F5, Smim22, Ace, Prr32, Wfdc2, Slc29a4, Car12, Slc13a4, Slc4a5, Col8a1, Tmem72, Lbp, Cldn2, Trpv4"
T2,"Slc17a7, Cck, Nrn1, Tbr1, Rtn4r, 3110035E14Rik, Satb2, Garnl3, Galnt9"
T3,"Penk, Dach1, Drd1, Rasgrp2, Actn2, Rxrg, Gpr88"
T4,"Cldn11, Mal, Trf, Opalin, Ermn, Mog, Gatm, Ppp1r14a, Qdpr, Csrp1, Pllp, Ndrg1, Plekhb1"
