"","A X4x12","A X3x13","A X4x14","A X6x12","A X5x13","A X7x11","A X3x10","A X4x13","A X2x13","A X5x14","A X8x10","A X3x14","A X5x12","B X15x19","B X17x10","B X18x8","B X15x20","B X16x19","B X20x22","B X15x18","B X19x9","B X18x9","B X18x7","B X15x17","C X15x4","C X16x7","C X18x5","C X19x6","C X15x6","C X16x2","C X14x2","C X16x4","C X18x6","C X15x2","C X17x2","D X17x20","D X10x7","D X15x4","D X8x12","D X9x9","D X11x15","D X14x8","D X12x8","D X4x12","D X3x17","D X16x7","D X6x14","D X17x6","D X18x5","D X10x9","D X11x4","D X12x7","D X13x6","D X4x17","D X8x7","D X9x6","D X10x5","D X11x8","D X14x7","D X15x6","D X7x16","D X8x14","D X10x12","D X12x10","D X13x11","D X3x13","D X4x14","D X5x15","D X6x12","D X9x15","D X11x6","D X8x2","D X9x3","D X14x2","D X7x15","D X6x16","D X8x9","D X9x4","D X10x3","D X11x10","D X14x5","D X12x13","D X6x11","D X18x6","D X9x13","D X10x10","D X11x3","D X12x4","D X15x9","D X13x9","D X3x15","D X5x13","D X7x11","D X12x3","D X13x2","D X5x16","D X16x8","D X19x5","D X17x21","D X10x6","D X15x5","D X8x11","D X9x10","D X11x12","D X12x15","D X15x2","D X16x6","D X17x7","D X7x12","D X10x8","D X11x5","D X12x6","D X13x7","D X13x4","D X5x11","D X4x16","D X9x7","D X10x4","D X11x9","D X14x6","D X15x7","D X9x12","D X7x17","D X8x13","D X9x8","D X10x15","D X11x14","D X14x9","D X12x9","D X4x13","D X3x16","D X6x15","D X17x5","D X7x14","D X11x7","D X13x5","D X4x18","D X8x8","D X9x5","D X11x11","D X14x4","D X12x12","D X8x15","D X9x14","D X10x13","D X9x16","D X12x11","D X13x10","D X3x12","D X4x15","D X5x14","D X3x18","D X6x13","D X12x2","D X13x3","D X5x17","D X20x5","D X8x3","D X9x2","D X14x3","D X6x17","D X8x10","D X9x11","D X8x16","D X11x13","D X14x10","D X16x5","D X7x13","D X10x11","D X11x2","D X12x5","D X15x8","D X13x8","D X3x14","D X5x12","E X18x10","E X10x14","E X14x7","E X16x17","E X16x8","E X19x10","E X20x13","E X11x12","E X18x11","E X22x13","E X22x14","E X13x15","E X16x18","F X22x19","F X24x14","F X25x15","F X28x10","F X19x13","F X17x13","F X20x14","F X23x19","F X21x15","F X25x16","F X15x13","F X17x6","F X18x5","F X21x17","F X16x11","F X17x10","F X22x17","F X24x16","F X25x13","F X19x15","F X18x8","F X21x13","F X14x14","F X15x15","F X16x13","F X19x8","F X17x8","F X24x18","F X19x17","F X18x6","F X18x12","F X14x12","F X20x17","F X19x5","F X22x18","F X24x13","F X26x15","F X16x15","F X17x14","F X20x13","F X18x13","F X23x16","F X22x15","F X23x14","F X25x17","F X16x6","F X17x7","F X21x18","F X15x16","F X17x11","F X22x16","F X18x16","F X24x15","F X25x14","F X26x13","F X19x12","F X17x12","F X20x15","F X23x18","F X21x14","F X15x12","F X17x5","F X21x16","F X16x12","F X18x14","F X23x13","F X24x17","F X19x14","F X21x12","F X14x15","F X15x14","F X20x16","F X26x14","F X16x14","F X17x15","F X20x12","F X23x17","F X22x14","F X18x15","F X23x15","F X24x19","F X16x5","F X19x16","F X18x7","F X14x13","F X26x16","F X23x20"
"PHKB",0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,3,1,0,1,0,0,0,2,0,1,0,0,0,0,2,5,0,0,0,1,1,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,1
"NUP160",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,6,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,1,0,2,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0
"DEF8",0,0,0,0,0,0,10,0,0,2,0,1,4,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,6,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,0,0,0,4,0,0,3,3,0,0,1,0,4,2,0,0,0,0,3,2,3,3,3,0,2,1,0,9,0,0,2,0,0,2,0,2,0,0,0,0,0,4,0,1,3,7,4,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,2,0
"ZNF37A",9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,11,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,2,0,0,0
"DAXX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,8,6,3,0,3,0,0,0,6,0,0,5,0,2,1,5,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,7,4,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,16,1,0,0,0,0,0,1,1,0,0,0,1,0,0,18,0,0,2,0,0,0,0,4,0,0,4,0,0,1,0,5,0,0,0,0,1,5,0,12,8,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,2,0,1,0,0,0,11,0,0,5,0,0,0,0,0,0,1,0,2,0,1,0,4,0,3,1,1,0,0,0,1,0,0,2,0,5,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,5,4,0,0,0,0,9,0,5,0,0,3,0,1,0,0,3,2,0,8,6,0,0,1,1
"SEC62",0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,4,3,2,0,0,0,0,0,0,0,1,0,0,14,1,0,0,0,2,0,0,0,0,0,1,3,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,3,2,0,0,3,0,0,0,2,0,0,0,0,5,2,0,10,0,1,0,0,0,0,0,1,0,0,5,9,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,2,0,7,0,1,0,0,0,0,2,0,0,0,0,0,1,1,5,0,0,1,0,0,0,4,0,1,2,0,0,1,3,0,0,1,0,0,1,5,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HDAC7",0,0,0,7,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,10,7,3,0,4,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,10,0,17,0,0,0,0,0,0,4,0,2,4,0,0,0,0,31,0,8,1,0,8,1,0,0,12,0,0,0,0,0,0,2,6,22,0,0,0,0,10,3,1,0,6,3,1,0,0,0,0,0,0,0,1,7,0,0,0,0,5,0,4,2,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,4,0,0,0,2,2,0,1,1,0,0,0,0,0,3,0,0,0,0,1,0,1,2,3,1,8,11,3,0,0,0,2,6,0,0,0,0,0,1,0,2,3,0,0,14,9,0,0,0,0,0,3,2,1,11,0,0,6,0,0,12,0,0,11,0,0,0,1,1,0,1,0,2,1,0,2,4,0,0,0,0
"GDI1",0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,3,0,6,21,0,0,2,0,2,0,0,4,0,0,0,5,1,0,0,1,3,2,0,0,0,1,10,5,0,0,1,1,0,1,5,0,1,0,8,0,1,0,0,6,4,0,1,1,2,0,0,0,5,0,0,2,0,1,1,5,1,1,0,0,4,0,0,1,1,0,0,0,5,0,0,3,1,1,10,2,0,1,4,1,2,0,0,4,0,0,0,2,0,2,0,0,0,7,4,0,0,0,1,4,0,1,0,0,1,0,0,0,3,8,6,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,3,0,2,8,0,3,0,9,0,6,1,3,0,0,1,0,0,3,7,0,0,8,0,0,3,0,1,6,3,2,0,0,0,2,4,5,2,0,4,7,1,0,2,14,3,0,3,0,4,3,3,2,3,0,1,4,2,3,8,3,7,14,4,1,6,3,3,0,2,2,0,0,3,12,2,6,2,0,2,0,0,0,7,2
"NSUN5",0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,2,3,0,2,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,3,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,4,1,0,1,0,2,2,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,3,10,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,3,0,8,0,6,0,0,2,1,0,0,0,2,0,5,0,8,0,0,0,4,0,0,0,0,0,0,0,0,2,1,0,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0
"RECQL5",0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,11,2,0,5,0,0,0,2,0,0,0,0,0,8,3,2,3,0,0,1,0,3,3,2,0,0,0,2,5,0,0,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,6,0,0,0,6,1,0,0,0,0,0,4,0,3,3,2,0,0,0,5,1,7,0,1,0,0,0
"C5orf15",0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,18,0,0,0,0,13,0,0,4,7,0,4,1,0,0,0,0,0,5,0,0,9,0,0,11,4,0,1,0,0,3,17,0,0,5,13,0,8,0,0,0,0,10,0,15,0,0,0,17,7,0,0,0,3,0,0,0,0,0,2,0,3,0,4,2,3,0,0,0,6,0,0,0,0,0,10,0,10,8,0,0,0,9,12,0,0,0,3,0,1,4,0,0,3,0,0,0,0,1,0,6,3,0,3,20,0,0,0,0,8,1,1,12,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,0,11,23,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,5,0,1,1,0,29,6,0,0,4,0,0,3,0,0,0,7,0,1,0,4,1,3,6,1,0,0,0,0,0,0,2,0,14,0,0,0,7,0,0,6,9,0,0,6,3,0,8,2,0,0,0,0,0,14,19,8,12,8,3,5,0,0,0,0,0,1,2,0,6,0,14,1,3,21,1,13,0,2,0,2,0
"HLA-DPB1",0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,10,0,0,1,11,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,1,0,0,7,6,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,1,0,0,1,1,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,3,1,1,0,0,0,0,0,3,0,1,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,1,0,1,1,0,0,6,0,0,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,4,0,0,4,5,4,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,2,4,6,2,2,1,0,0,0,0,1,0,0,16,0,0,0,2,1,7,1,0,0,1,0
"HSPA4",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,4,1,0,0,0,4,7,2,0,0,0,0,0,9,0,1,1,2,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,2,6,0,0,0,0,1,1,1,1,1,5,1,0,0,0,0,2,1,0,0,5,4,0,4,2,0,0,3,5,0,1,0,1,0,0,1,2,0,0,3,15,0,0,2,6,0,0,5,0,0,0,2,0,0,0,11,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,2,1,0,0,0,0,0,3,0,6,1,0,0,5,1,0,6,1,0,3,2,0,0,4,1,0,1,0,0,2,2,0,0,0,2,2,1,5,1,4,0,0,1,3,2,3,0,1,1,0,0,6,3,1,1,12,16,2,1,0,0,4,0,2,0,9,1,0,0,0,3,0,5,0,0,0,0,0,3
"DDX5",1,0,9,0,0,7,2,2,0,2,0,0,0,2,0,0,3,0,0,23,0,2,0,0,1,0,0,0,0,5,0,0,0,0,0,4,3,32,0,9,17,5,17,2,0,9,0,9,12,11,0,2,4,0,0,2,1,22,0,11,1,4,18,0,1,0,20,4,7,0,1,10,12,1,0,0,4,0,7,4,28,1,3,0,3,9,5,11,3,22,3,8,5,40,19,5,8,0,0,0,1,0,1,3,0,1,3,6,14,14,0,9,12,11,2,2,16,18,1,6,38,4,0,7,8,2,1,0,6,1,6,1,2,3,4,12,0,1,1,7,4,3,0,7,6,8,0,0,3,11,9,9,0,1,8,1,0,0,1,10,0,0,11,0,0,0,5,5,16,12,8,5,3,0,3,2,0,0,0,0,0,0,0,0,0,5,0,0,1,10,8,2,0,0,16,0,2,3,10,5,12,4,32,0,0,15,2,2,4,25,0,0,33,13,5,6,3,6,7,28,8,1,0,8,16,3,20,7,6,3,11,12,0,7,24,0,9,11,4,5,9,2,0,0,12,0,0,6,43,4,6,39,30,31,2,1,1,6,1,6,1,3,0,2,3,0,1,8,0,6,2,0,1,6,7
"HNRNPU",0,14,4,0,0,9,4,3,0,6,1,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,2,14,0,0,5,9,1,0,0,0,3,1,0,0,7,5,1,0,2,0,0,2,8,6,0,2,0,0,1,0,1,1,2,2,0,3,0,3,0,1,3,0,0,2,18,0,8,0,0,3,0,0,0,0,0,8,1,1,0,4,8,1,1,6,1,0,0,5,0,3,6,1,7,0,0,3,2,0,3,3,0,14,0,0,11,1,0,0,2,1,2,0,0,0,2,3,7,0,2,22,2,4,0,1,2,0,0,1,0,2,4,1,1,10,0,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,2,0,16,1,5,4,1,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1,0,2,0,3,3,0,4,6,10,13,0,11,0,0,16,2,0,1,63,0,8,10,0,12,15,0,1,0,1,22,10,0,0,12,1,6,0,0,1,0,0,0,1,1,0,0,16,5,17,1,1,1,0,3,11,12,3,7,1,19,16,6,13,6,12,8,13,0,2,0,0,0,0,2,6,0,8,0,3,0,0,0,2,1
"NUDCD3",0,0,0,7,1,7,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,16,0,0,3,0,0,4,0,0,0,0,5,0,2,4,0,0,1,0,1,1,1,3,0,1,0,4,0,0,0,0,5,3,0,4,0,0,5,0,0,0,0,5,2,0,0,0,0,0,4,0,1,0,0,0,12,0,3,0,0,0,1,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0,5,0,0,0,0,0,0,0,6,2,1,0,0,0,3,0,0,0,0,2,2,5,0,0,0,0,0,2,0,10,0,0,0,61,10,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,5,0,1,6,4,2,2,3,9,0,1,3,4,2,0,4,0,4,2,7,0,2,2,3,23,11,3,3,3,5,3,7,0,4,0,6,3,4,4,1,13,3,2,0,5,3,0,6,10,0,0,3,0,3,8,0,0,4,1,0,8,3,6,7,1,2,4,0,0,3,0,1,0,0,0,3,4,1,0,2,12,0,0,0,1
"SFPQ",0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,2,0,7,1,0,6,0,0,0,1,0,0,0,3,0,0,0,0,0,0,2,41,3,2,16,29,1,0,0,4,5,5,0,9,4,6,13,4,0,1,17,18,8,9,0,42,22,8,0,3,18,5,7,2,0,0,2,34,9,6,0,1,0,2,17,5,2,0,9,0,2,40,1,17,0,12,8,6,14,0,7,3,0,2,9,0,0,0,0,3,14,2,5,9,4,6,1,8,7,3,6,12,2,0,28,17,1,0,13,1,2,0,7,3,0,6,9,11,6,30,1,6,22,16,6,8,1,11,6,15,1,0,0,20,0,0,1,2,4,4,1,0,0,0,0,3,19,5,7,5,5,4,9,0,6,8,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,14,0,22,7,0,4,18,13,11,15,38,7,0,9,0,24,1,9,2,1,24,1,4,0,5,5,7,6,13,8,0,1,7,6,41,8,0,6,12,7,0,1,14,4,5,5,14,2,20,0,0,0,26,0,1,1,36,2,8,52,33,3,3,6,6,0,11,5,1,4,21,9,14,0,4,25,13,15,14,0,0,13,6
"TPT1",17,0,60,1,5,38,5,14,2,34,2,1,0,3,0,2,13,4,2,20,1,15,0,41,19,10,0,3,5,6,1,0,0,2,13,2,3,21,0,6,20,3,2,1,3,0,7,4,0,3,9,9,8,1,5,3,6,17,5,4,0,13,2,3,2,5,18,4,10,2,16,14,7,6,4,0,7,15,3,10,17,1,10,1,0,4,10,3,4,4,4,1,3,13,8,4,4,2,18,14,3,2,2,6,2,43,6,6,19,14,3,24,22,11,14,16,1,9,1,2,29,9,3,5,7,2,2,5,0,1,3,5,10,5,5,12,0,1,23,4,8,13,14,11,5,10,7,3,4,15,9,0,2,7,19,2,2,2,2,13,0,1,13,1,5,4,9,4,5,3,13,1,14,1,2,6,0,5,10,1,0,0,11,0,6,2,12,0,10,37,25,10,18,5,32,6,2,2,33,0,3,1,65,15,19,15,0,0,17,23,1,5,46,12,14,17,24,8,16,25,27,15,5,8,22,11,16,2,1,3,48,14,0,7,53,5,6,57,45,0,17,5,1,2,23,12,22,12,58,23,9,76,57,42,2,10,0,3,5,8,3,4,26,11,5,4,3,43,15,17,11,1,5,14,7
"SGSM2",0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,7,1,3,0,0,4,3,3,0,0,2,0,0,3,0,4,4,2,0,1,0,1,0,7,2,0,7,0,0,8,0,3,1,1,0,1,7,8,0,0,0,0,2,0,0,4,1,3,0,0,0,3,0,4,2,0,0,0,0,2,0,1,1,0,4,4,0,1,0,5,6,9,1,0,0,5,4,8,8,5,4,0,0,0,2,0,0,0,0,0,0,0,3,2,0,9,0,0,0,0,12,0,0,10,13,1,0,5,0,2,0,0,0,0,1,4,0,0,0,0,0,2,3,0,4,0,0,1,14,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,4,0,12,14,1,3,2,0,1,8,3,0,0,7,5,1,28,4,0,0,1,1,2,7,1,2,0,0,0,11,3,4,0,4,3,8,0,4,5,1,0,4,0,4,4,2,0,0,70,9,0,2,5,3,0,2,0,3,8,1,4,0,2,7,0,12,0,1,0,0,0,4,0,2,0,0,0,0,0
"PPIA",4,0,0,0,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,15,2,6,10,26,7,0,0,7,3,6,2,9,2,19,14,3,4,3,2,6,1,19,0,8,15,4,4,1,38,13,20,0,8,19,16,10,0,0,8,21,5,6,12,2,3,2,13,3,3,24,4,4,4,3,11,12,10,3,13,4,2,20,13,3,11,10,4,10,4,5,18,2,7,38,33,0,3,17,1,16,2,2,18,2,0,3,18,2,4,7,3,5,5,3,5,17,18,30,7,1,8,8,14,2,7,20,11,8,4,1,3,9,19,0,2,9,4,7,1,3,4,18,0,6,17,0,5,13,1,1,7,2,3,19,3,6,2,15,0,0,0,3,0,0,0,0,9,0,0,0,3,8,1,5,10,13,26,9,5,3,32,6,19,8,62,8,0,13,0,7,4,32,4,0,34,10,14,13,29,23,27,28,26,1,5,5,11,12,15,13,8,7,21,3,3,9,56,5,6,21,76,9,3,10,1,8,11,5,5,30,47,5,23,81,30,11,3,22,16,7,8,6,8,15,14,10,10,5,15,31,8,9,10,2,2,12,6
"CAPZB",2,0,0,0,3,1,0,3,1,9,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,1,3,1,0,1,0,0,0,0,3,0,3,0,4,5,5,0,0,5,0,6,0,11,5,5,0,1,0,0,0,4,1,3,0,1,0,2,1,0,5,0,2,5,6,0,3,1,10,9,1,6,3,3,0,0,4,5,5,1,0,0,1,0,2,5,0,0,0,0,1,2,0,13,2,0,0,2,0,1,3,0,0,1,3,0,0,0,7,0,0,0,2,20,0,0,0,8,0,0,9,0,0,2,0,0,0,4,0,9,0,2,0,6,3,0,0,16,0,0,3,1,0,0,3,0,7,1,1,0,1,0,0,0,0,3,0,0,0,0,0,10,1,14,5,1,2,14,0,3,1,16,0,11,5,10,7,0,12,0,1,3,17,0,3,16,2,6,5,4,0,6,5,11,0,0,7,4,3,6,12,0,7,9,3,0,10,11,2,0,12,5,0,1,0,2,0,9,0,5,3,12,16,5,24,3,9,10,3,4,3,0,3,0,1,12,8,2,16,2,28,12,11,2,0,0,10,0
"DNAJB1",0,14,3,1,0,14,48,8,33,9,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,25,0,4,7,6,10,7,6,4,4,0,3,11,5,5,23,4,0,8,9,11,0,7,0,5,26,6,3,0,32,3,0,0,1,4,5,1,3,4,10,1,0,10,13,0,15,4,4,8,1,13,0,0,0,6,6,14,5,5,11,0,7,20,14,2,10,15,10,10,22,11,21,13,0,15,10,8,4,42,6,4,11,4,37,0,0,11,12,0,2,3,22,1,2,9,6,8,5,26,0,0,4,4,10,10,2,21,9,6,14,2,1,6,9,5,1,1,2,6,0,0,8,3,0,2,7,6,13,0,3,9,14,8,2,3,3,13,0,0,0,0,0,2,4,0,0,1,0,0,7,0,0,16,8,16,22,7,38,0,16,6,44,10,9,9,51,12,10,22,3,10,3,9,0,3,44,0,9,7,17,11,20,38,16,2,16,2,5,20,8,21,7,27,23,5,3,17,29,7,58,21,27,14,15,5,0,7,10,15,7,16,115,19,15,55,35,22,13,3,4,5,13,68,4,14,18,19,34,6,26,19,5,9,25,3,3,11,44
